text,label
"I love this product, it's amazing!",positive
This is the worst purchase I've ever made.,negative
Very satisfied with the quality of this item.,positive
Terrible customer service. I will never buy from here again.,negative
"Great value for money, highly recommend!",positive
"Not worth the price, very disappointed.",negative
The product arrived on time and as expected.,positive
"Horrible experience, will never buy again.",negative
"Absolutely perfect, exceeded my expectations.",positive
"The product broke after a few uses, very disappointed.",negative
